summary_date,site,no_davg,name,obs_count,units 
2001-12-25,3141,0.066,Tijuana-La Mesa,22,Parts Per Million ( ppm ) 
2001-12-25,3178,0.010,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2001-12-25,3489,0.002,Salinas-High School,24,Parts Per Million ( ppm ) 
2001-12-25,2329,0.001,Davenport,24,Parts Per Million ( ppm ) 
2001-12-25,3481,0.003,Incline Village-846 Tahoe Blvd,23,Parts Per Million ( ppm ) 
2001-12-25,2484,0.002,Azusa,23,Parts Per Million ( ppm ) 
2001-12-25,2492,0.089,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2001-12-25,2849,0.001,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2001-12-25,2045,0.074,Hawthorne,23,Parts Per Million ( ppm ) 
2001-12-25,3508,0.085,Los Angeles-651 Mott Street,23,Parts Per Million ( ppm ) 
2001-12-25,2899,0.061,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2001-12-25,2583,0.147,Lynwood,23,Parts Per Million ( ppm ) 
2001-12-25,2429,0.053,North Long Beach,23,Parts Per Million ( ppm ) 
2001-12-25,2160,0.037,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2001-12-25,2166,0.075,Pico Rivera,23,Parts Per Million ( ppm ) 
2001-12-25,2898,0.070,Pomona,23,Parts Per Million ( ppm ) 
2001-12-25,2420,0.063,Reseda,23,Parts Per Million ( ppm ) 
2001-12-25,3502,0.004,Santa Clarita,23,Parts Per Million ( ppm ) 
2001-12-25,2494,0.021,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2001-12-25,3509,0.059,Wilmington-1115 N.Mahar Avenue,23,Parts Per Million ( ppm ) 
2001-12-25,3674,0.074,Anaheim-Pampas Lane,24,Parts Per Million ( ppm ) 
2001-12-25,2937,0.099,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2001-12-25,2249,0.059,La Habra,23,Parts Per Million ( ppm ) 
